Id,IsEquipment,IsOverlaped,Parts,ItemSet,WeaponType,SubWeaponType,MaterialType,Tier,Name_kr,Strength,Agility,Intelligence,Critical,Hp,Attack,Defence,Range,Price,Text,Ingrediant1,requireCount1,Ingrediant2,,Ingrediant3,,Ingrediant4,
10000101,true,false,WEAPON,NOT_SET,BOW,NOT_SUBWEAPON,NOT,1,튼튼한 낡은 활,0,6,0,0,0,6,0,7,100,줄이 느슨한 낡은 활. 당장 사용하기엔 충분해 보인다,140121,1,140005,1,140020,1,000000,1
10000102,true,false,WEAPON,NOT_SET,BOW,NOT_SUBWEAPON,NOT,1,낡은 활,0,5,0,0,0,5,0,7,100,줄이 느슨한 낡은 활,140121,1,140005,1,140020,1,000000,1
10000103,true,false,WEAPON,NOT_SET,BOW,NOT_SUBWEAPON,NOT,1,부식된 낡은 활,0,5,0,0,0,4,0,7,100,줄이 느슨한 부러지기 직전의 낡은 활. 겨우 쏠 수 있는 수준,140121,1,140005,1,140020,1,000000,1
10010101,true,false,WEAPON,NOT_SET,SHORT_SWORD,NOT_SUBWEAPON,NOT,1,녹슨 명품 검,6,0,0,0,0,6,0,1.5,100,오랜 세월 녹슨 검. 품질 만큼은 여전하다,140121,1,140005,1,140020,1,000000,1
10010102,true,false,WEAPON,NOT_SET,SHORT_SWORD,NOT_SUBWEAPON,NOT,1,녹슨 검,5,0,0,0,0,5,0,1.5,100,오랜 세월 녹슨 검,140121,1,140005,1,140020,1,000000,1
10010103,true,false,WEAPON,NOT_SET,SHORT_SWORD,NOT_SUBWEAPON,NOT,1,녹슨 싸구려 검,5,0,0,0,0,4,0,1.5,100,오랜 세월 녹슨 검. 휘두르는건 가능하다,140121,1,140005,1,140020,1,000000,1
10020101,true,false,WEAPON,NOT_SET,SPEAR,NOT_SUBWEAPON,NOT,1,단단한 나무 창,6,0,0,0,0,6,0,2.5,100,급하게 깎아 만든 나무창. 질 좋은 나무로 만들어졌다,140121,1,140005,1,140020,1,000000,1
10020102,true,false,WEAPON,NOT_SET,SPEAR,NOT_SUBWEAPON,NOT,1,나무 창,5,0,0,0,0,5,0,2.5,100,급하게 깎아 만든 나무창,140121,1,140005,1,140020,1,000000,1
10020103,true,false,WEAPON,NOT_SET,SPEAR,NOT_SUBWEAPON,NOT,1,낡은 나무 창,5,0,0,0,0,4,0,2.5,100,급하게 깎아 만든 나무창. 간신히 쓸 만하다,140121,1,140005,1,140020,1,000000,1
10030101,true,false,WEAPON,NOT_SET,WAND,NOT_SUBWEAPON,NOT,1,금이간 고급 완드,0,0,6,0,0,6,0,1.5,100,금이 간 오래된 완드. 명품의 느낌이 난다,140121,1,140005,1,140020,1,000000,1
10030102,true,false,WEAPON,NOT_SET,WAND,NOT_SUBWEAPON,NOT,1,금이간 완드,0,0,5,0,0,5,0,1.5,100,금이 간 오래된 완드,140121,1,140005,1,140020,1,000000,1
10030103,true,false,WEAPON,NOT_SET,WAND,NOT_SUBWEAPON,NOT,1,금이간 저급 완드,0,0,5,0,0,4,0,1.5,100,금이 간 오래된 완드. 마법의 기운이 희미하다,140121,1,140005,1,140020,1,000000,1
100401,true,false,SUBWEAPON,NOT_SET,NOT_WEAPON,ARROW,NOT,1,금이 간 화살통,0,3,0,0,0,2,0,0,100,오래된 통에 금이 갔다. 화살이 자주 흘러내린다.,140124,1,140004,1,140022,1,000000,1
100501,true,false,SUBWEAPON,NOT_SET,NOT_WEAPON,SHEATH,NOT,1,낡은 가죽 칼집,3,0,0,0,0,2,0,0,100,낡고 작은 버클러. 최소한의 방어만 가능하다.,140124,1,140004,1,140022,1,000000,1
100601,true,false,SUBWEAPON,NOT_SET,NOT_WEAPON,EMBLEM,NOT,1,빛 바랜 엠블렘,3,0,0,0,0,2,0,0,100,색이 바랜 오래된 문장. 희미하게 전기가 감돈다.,140124,1,140004,1,140022,1,000000,1
100701,true,false,SUBWEAPON,NOT_SET,NOT_WEAPON,BOOK,NOT,1,낡은 마도서,0,0,3,0,0,2,0,0,100,닳고 해진 표지. 안의 주문도 희미하게 남아있다.,140124,1,140004,1,140022,1,000000,1
10000201,true,false,WEAPON,NOT_SET,BOW,NOT_SUBWEAPON,NOT,2,신비한 엘프의 활,0,8,0,0,0,10,0,7,200,엘프가 만든 장궁. 정확성과 위력이 뛰어나다.,140112,1,140007,1,140010,1,000000,1
10000202,true,false,WEAPON,NOT_SET,BOW,NOT_SUBWEAPON,NOT,2,엘프의 활,0,7,0,0,0,9,0,7,200,엘프가 만든 장궁,140112,1,140007,1,140010,1,000000,1
10000203,true,false,WEAPON,NOT_SET,BOW,NOT_SUBWEAPON,NOT,2,오래된 엘프의 활,0,6,0,0,0,8,0,7,200,엘프가 만든 장궁.오래되어 장력이 약해졌다,140112,1,140007,1,140010,1,000000,1
10010201,true,false,WEAPON,NOT_SET,SHORT_SWORD,NOT_SUBWEAPON,NOT,2,예리한 기사의 검,8,0,0,0,0,1,0,1.5,200,기사들이 사용하던 검. 균형 잡힌 성능이 돋보인다.,140112,1,140007,1,140010,1,000000,1
10010202,true,false,WEAPON,NOT_SET,SHORT_SWORD,NOT_SUBWEAPON,NOT,2,기사의 검,7,0,0,0,0,9,0,1.5,200,기사들이 사용하던 검,140112,1,140007,1,140010,1,000000,1
10010203,true,false,WEAPON,NOT_SET,SHORT_SWORD,NOT_SUBWEAPON,NOT,2,무딘 기사의 검,6,0,0,0,0,8,0,1.5,200,기사들이 사용하던 검. 검 끝이 무디다,140112,1,140007,1,140010,1,000000,1
