Id,Name,Ingrediant1,Ingrediant2,Ingrediant3,Ingrediant4
100001,녹슨 검,140103,140005,140001,000000
100101,나무 창,140103,140005,140001,000000
100201,낡은 활,140103,140005,140001,000000
100301,금이간 완드,140103,140005,140001,000000
100401,낡은 버클러,140103,140004,140002,000000
100501,빛 바랜 엠블렘,140103,140004,140002,000000
100601,금이 간 화살통,140103,140004,140002,000000
100701,낡은 마도서,140103,140004,140002,000000
100002,기사의 검,140112,140011,140013,000000
100102,강철 랜스,140112,140011,140013,000000
100202,엘프의 활,140112,140011,140013,000000
100302,신비한 지팡이,140112,140011,140013,000000
100402,철벽 방패,140112,140010,140013,000000
100502,빛나는 엠블렘,140112,140010,140013,000000
100602,튼튼한 화살통,140112,140010,140013,000000
100702,신비한 마도서,140112,140010,140013,000000
100003,용의 송곳니,140128,140115,140025,140022
100103,번개를 꿰뚫는 자,140128,140115,140025,140022
100203,폭풍의 포효,140128,140124,140025,140022
100303,별 파괴자,140128,140124,140025,140022
100403,아이기스의 용맹,140127,140121,140025,140022
100503,천벌의 문장,140127,140121,140025,140022
100603,질풍의 궤,140127,140118,140025,140022
100703,별무리의 경전,140127,140118,140025,140022
110001,낡은 천 두건,140103,140008,140001,000000
110101,낡은 천 로브,140103,140008,140002,000000
110201,낡은 천 바지,140103,140008,140005,000000
110301,낡은 천 장갑,140103,140008,140004,000000
110401,낡은 천 샌들,140103,140008,140007,000000
120001,얇은 가죽 두건,140109,140014,140002,000000
120101,얇은 가죽 조끼,140109,140014,140005,000000
120201,얇은 가죽 바지,140109,140014,140004,000000
120301,얇은 가죽 장갑,140109,140014,140007,000000
120401,얇은 가죽 장화,140109,140014,140001,000000
130001,녹슨 투구,140112,140013,140002,000000
130101,녹슨 갑옷,140112,140013,140005,000000
130201,녹슨 각갑,140112,140013,140004,000000
130301,녹슨 건틀릿,140112,140013,140007,000000
130401,녹슨 각반,140112,140013,140001,000000
110002,신비한 두건,140115,140008,140001,000000
110102,신비한 로브,140115,140008,140002,000000
110202,신비한 바지,140115,140008,140005,000000
110302,신비한 장갑,140115,140008,140004,000000
110402,신비한 덧신,140115,140008,140007,000000
120002,사냥꾼의 두건,140118,140014,140002,000000
120102,사냥꾼의 조끼,140118,140014,140005,000000
120202,사냥꾼의 바지,140118,140014,140004,000000
120302,사냥꾼의 장갑,140118,140014,140007,000000
120402,사냥꾼의 장화,140118,140014,140001,000000
130002,강철 투구,140121,140013,140002,000000
130102,강철 갑옷,140121,140013,140005,000000
130202,강철 각갑,140121,140013,140004,000000
130302,강철 건틀릿,140121,140013,140007,000000
130402,강철 각반,140121,140013,140001,000000
110003,성간의 관,140128,140115,140025,140008
110103,성간의 로브,140128,140115,140025,140002
110203,성간의 바지,140128,140115,140025,140005
110303,성간의 장갑,140128,140115,140025,140004
110403,성간의 장화,140128,140115,140025,140007
120003,흑랑의 두건,140127,140124,140025,140014
120103,흑랑의 조끼,140127,140124,140025,140005
120203,흑랑의 바지,140127,140124,140025,140004
120303,흑랑의 장갑,140127,140124,140025,140007
120403,흑랑의 장화,140127,140124,140025,140001
130003,용기사의 투구,140127,140124,140026,140013
130103,용기사의 갑주,140127,140124,140026,140005
130203,용기사의 각갑,140127,140124,140026,140004
130303,용기사의 건틀릿,140127,140124,140026,140007
130403,용기사의 각반,140127,140124,140026,140001
